Name,Stock Level,Min Level,Unit,Unit Price,Currency,SKU,Supplier,Category,Last Ordered,Notes,Capacity,EAN / UPC,Retail Price,Wholesale Price,Link
Rose Quartz Worry Stone by Tiny Rituals,0,,pieces,,USD,carro-66857637,,,1970-01-01,,0,,38,,https://app.inventora.com/products/st69tTX2TLzGQNAo2CyQig/details
Rugged Timber Scented Soy Candle – A Bold Escape Into the Wilderness,2,,pieces,,USD,61673116294229,,,1970-01-01,,0,,8,,https://app.inventora.com/products/5cvY8nb6dZZiU7bNLJB6cH/details
Sample Packs,0,,pieces,,USD,61673117156053,,,1970-01-01,,0,,4,,https://app.inventora.com/products/qNnwpxt2GVy16537torK8L/details
Savage Beast Body Butter – Luxe & Invigorating | SoapyFluffs,8,,pieces,,USD,61673115422069,,,1970-01-01,,0,,8,,https://app.inventora.com/products/4DKLGgB7aGwvdXios6aPft/details
Selenite Crystal Recharging Wands by Tiny Rituals - Thin,0,,pieces,,USD,carro-66857657,,,1970-01-01,,0,,13.95,,https://app.inventora.com/products/gyNNgsuzaJeMPUAzoXf71X/details
Selenite Crystal Recharging Wands by Tiny Rituals - Thick,0,,pieces,,USD,carro-66857658,,,1970-01-01,,0,,16.95,,https://app.inventora.com/products/1KTtKnuQDhjbcsvieLSQn6/details
Shampoo Bar - Sleepytime,6,,pieces,,USD,61673117243125,,,1970-01-01,,0,,4,,https://app.inventora.com/products/7WP8wbGZ5JmuFHcNBYFpDe/details
Shampoo Bars - Energy,11,,pieces,,USD,61673117309877,,,1970-01-01,,0,,4,,https://app.inventora.com/products/tPSRioGmXggUfRXSfwjUBt/details
Shampoo Bars - Just Breathe,8,,pieces,,USD,61673117418549,,,1970-01-01,,0,,4,,https://app.inventora.com/products/jP2BLYKuR2KXrDnWaAAKjj/details
"SoapyFluffs Artisan Bath Bombs – Fun, Fizz & Fragrance | SoapyFluffs - Cherry Blossom",8,,pieces,,USD,61673116024885,,,1970-01-01,,0,,6,,https://app.inventora.com/products/qVLMxpjDmhPhNVFgYaKhAy/details
SoapyFluffs Classic VIP 4-Soap Box (Subscribe & Save),98,,pieces,,USD,SOAPY-4-VIP,,,1970-01-01,,0,,49,,https://app.inventora.com/products/vcLMmQC9ewPWUF9n6Rqg7B/details
Soapyfluffs Giftcard - $10.00,0,,pieces,,USD,61673119130261,,,1970-01-01,,0,,10,,https://app.inventora.com/products/95J5Dc8fEaxorJtiACTUsS/details
Soapyfluffs Giftcard - $25.00,0,,pieces,,USD,61673119263029,,,1970-01-01,,0,,25,,https://app.inventora.com/products/wFL1HV5vgAtsFJQEFNzJ3S/details
Soapyfluffs Giftcard - $50.00,0,,pieces,,USD,61673119395797,,,1970-01-01,,0,,50,,https://app.inventora.com/products/rvVkWXRkHmG6U5antvGGTa/details
Soapyfluffs Giftcard - $100.00,0,,pieces,,USD,61673119428565,,,1970-01-01,,0,,100,,https://app.inventora.com/products/iJU48v4ztrGoPXXoe4m6vK/details
Stormy Rain,34,,pieces,,USD,61673119707381,,,1970-01-01,,0,,8,,https://app.inventora.com/products/26ZY2ckFvG5q6MPj9eHbcf/details
Strawberry Fields,-1,,pieces,,USD,61673116865173,,,1970-01-01,,0,,8,,https://app.inventora.com/products/nwcoNA2Kdt6grpfxv5qtwg/details
Spring Cleaning - Soy Wax Melt,5,,pieces,,USD,61673114910869,,,1970-01-01,,0,,5,,https://app.inventora.com/products/te9xk4YAGji6RHStd828Sv/details
Spring Cleaning Artisan Candle – Clean & Refreshing | Soapy Fluffs,0,,pieces,,USD,61673115052917,,,1970-01-01,,0,,8,,https://app.inventora.com/products/rUf94wq7GvRioXEV5u31Gg/details
Teatree Bliss,20,,pieces,,USD,61673110271381,,,1970-01-01,,0,,8,,https://app.inventora.com/products/sPTJsqiTnztdLSmP2EWqJm/details
The Soap Saver Bag,20,,pieces,,USD,,,,1970-01-01,,0,,1.5,,https://app.inventora.com/products/8MjXHQdQGQxA7JfqAcgiET/details
The Soap Saver Tray,20,,pieces,,USD,,,,1970-01-01,,0,,1.5,,https://app.inventora.com/products/mHocy2v6XDsu5P92zapEJG/details
Tipsy Gingerbread  - Soy Candle,0,,pieces,,USD,61673111769141,,,1970-01-01,,0,,8,,https://app.inventora.com/products/9RKfYTJa49zWutxWSVAb2E/details
Tranquil Patchouli,24,,pieces,,USD,61673119501301,,,1970-01-01,,0,,8,,https://app.inventora.com/products/mUKMQEqhMQbv1YcGyXxWAV/details
Turquoise Howlite Stone Set by Tiny Rituals,0,,pieces,,USD,carro-66857649,,,1970-01-01,,0,,28,,https://app.inventora.com/products/51NNwAnQLBfHHDH6QWabWM/details
Unscented Natural Soap Bar - Hypoallergenic & Fragrance-Free - Energy - Peppermint & Spearmint Lemon,11,,pieces,,USD,,,,1970-01-01,,0,,6,,https://app.inventora.com/products/mu6xLXK6UgPRBKWZMmD5BT/details
Unscented Natural Soap Bar - Hypoallergenic & Fragrance-Free - Spicy Chia,0,,pieces,,USD,,,,1970-01-01,,0,,6,,https://app.inventora.com/products/6ZQXxMNpMBq8ArUybSw1U8/details
